web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,22/06/2024,29/06/2024,567,567,MOBILHOME 6 personnes - Cottage Loft 32m² / 3 chambres - terrasse couverte,,Camping La Grappe Fleurie,6 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,22/06/2024,29/06/2024,913.50,913.50,MOBILHOME 4 personnes - Cottage Loggia Premium,,Camping La Grappe Fleurie,4 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,22/06/2024,29/06/2024,976.50,976.50,BUNGALOW 6 personnes - Cottage Family Premium 34m2 + 22m2 de terrasse,,Camping La Grappe Fleurie,6 Adultes, 69820 FLEURIE,,25,camping-la-grappe-fleurie-77236,
,09/10/2023,17/12/2023,24/12/2023,462,396,MOBILHOME 6 personnes - PREMIUM D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,50,camping-le-mas-des-lavandes-76672,
,09/10/2023,17/12/2023,24/12/2023,462,396,MOBILHOME 6 personnes - PREMIUM S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,50,camping-le-mas-des-lavandes-76672,
,09/10/2023,17/12/2023,24/12/2023,539,462,MOBILHOME 6 personnes - PREMIUM D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,50,camping-le-mas-des-lavandes-76672,
,09/10/2023,13/07/2024,20/07/2024,925,925,MOBILHOME 5 personnes - Confort 2 chambres - Terrasse,,Camping La Roche Percée,4 Adultes, 29170 FOUESNANT,,28,camping-la-roche-percee-76552,
,09/10/2023,13/07/2024,20/07/2024,1030,1030,MOBILHOME 6 personnes - Confort 3 chambres - Terrasse,,Camping La Roche Percée,6 Adultes, 29170 FOUESNANT,,28,camping-la-roche-percee-76552,
,09/10/2023,26/11/2023,03/12/2023,510,510,MOBILHOME 8 personnes - Mobilhome 8 personnes,,Camping Kanopée Village,6 Adultes, 01600 TREVOUX,,47,camping-kanopee-village-78660,
,09/10/2023,26/11/2023,03/12/2023,670,670,CHALET 11 personnes - PERCHE,,Camping Kanopée Village,11 Adultes, 01600 TREVOUX,,47,camping-kanopee-village-78660,
,09/10/2023,25/05/2024,01/06/2024,147,147,EMPLACEMENT - Tente,,Camping Aloha Plage,, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,623,623,MOBILHOME 6 personnes - Mobile-Home   O'phéa 2ch 4/6pers,,Camping Aloha Plage,6 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,623,623,TENTE TOILE ET BOIS 5 personnes - Tente Lodge Victoria 2ch 5pers,,Camping Aloha Plage,5 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,630,630,APPARTEMENT 4 personnes - 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,651,651,MOBILHOME 4 personnes - Mh Krusoé 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,777,777,MOBILHOME 4 personnes - HIP 2ch 4 pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,805,805,MOBILHOME 6 personnes - Krusoé 3ch 6pers,,Camping Aloha Plage,6 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,805,805,MOBILHOME 4 personnes - Cottage 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,25/05/2024,01/06/2024,1141,1141,HÉBERGEMENT INSOLITE 7 personnes - Chalet luxury SPA 7pers,,Camping Aloha Plage,7 Adultes, 07120 SAMPZON,,21,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,196,196,EMPLACEMENT - Tente,,Camping Aloha Plage,, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,623,623,MOBILHOME 6 personnes - Mobile-Home   O'phéa 2ch 4/6pers,,Camping Aloha Plage,6 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,623,623,TENTE TOILE ET BOIS 5 personnes - Tente Lodge Victoria 2ch 5pers,,Camping Aloha Plage,5 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,630,630,APPARTEMENT 4 personnes - 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,651,651,MOBILHOME 4 personnes - Mh Krusoé 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,777,777,MOBILHOME 4 personnes - HIP 2ch 4 pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,805,805,MOBILHOME 6 personnes - Krusoé 3ch 6pers,,Camping Aloha Plage,6 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,805,805,MOBILHOME 4 personnes - Cottage 2ch 4pers,,Camping Aloha Plage,4 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,15/06/2024,22/06/2024,1141,1141,HÉBERGEMENT INSOLITE 7 personnes - Chalet luxury SPA 7pers,,Camping Aloha Plage,7 Adultes, 07120 SAMPZON,,24,camping-aloha-plage-78462,
,09/10/2023,18/05/2024,25/05/2024,640.09,448.06,MOBILHOME 6 personnes - Confort 3 Pièces 4/6 Personnes + TV,,Camping Antioche,4 Adultes," Les Clumasses, 17580 Le Bois",,20,camping-antioche-83190,
,09/10/2023,18/05/2024,25/05/2024,664.29,465,MOBILHOME 8 personnes - Confort 4 Pièces 8 Personnes + TV,,Camping Antioche,4 Adultes," Les Clumasses, 17580 Le Bois",,20,camping-antioche-83190,
,09/10/2023,21/01/2024,28/01/2024,418.30,418.30,MOBILHOME 6 personnes - Cottage Rêve 25m² + Terrasse couverte 16m2 +Télévision,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,504,504,"CHALET 4 personnes - Le cabanon cosy ""TOI ET MOI"" 2pers une seule chambre télévision et terrasse couverte",,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,545.90,545.90,CHALET 5 personnes - CHALET 40m2 Pétales d'or TERRASSE COUVERTE + TELEVISON +LAVE VAISSELLE,,Camping La Garenne,5 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,567.30,567.30,MOBILHOME 4 personnes - Résidence Rubis Rouge + Climatisation + lave vaisselle + Terrasse Couverte,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,573.30,573.30,CHALET 4 personnes - Chalet Les Coquelicots 30m² + Terrasse couverte +Télévision,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,575.30,575.30,MOBILHOME 6 personnes - Résidence Noisette 32m2 clim Terrasse Couverte + télevision + Lave vaisselle dimanche au dimanche,,Camping La Garenne,6 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,580.30,580.30,MOBILHOME 4 personnes - Résid SUMBA 40m2 Paradis Terrasse Couverte Télévision Lave Vaisselle Lave Linge,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,585.30,585.30,CHALET 6 personnes - Chalet Champêtre 35m² + Grande Terrasse couverte +Télévision + Lave vaisselle,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,585.30,585.30,CHALET 5 personnes - CHALET L'Amarylis 35m² + lave vaisselle +Terrasse COUVERTE +Télévision,,Camping La Garenne,5 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,585.30,585.30,CHALET 5 personnes - Chalet Soleil couchant 35m² + lave vaisselle + Terrasse couverte + Télévision,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,599.30,599.30,CHALET 5 personnes - Chalet Les Bleuets 40m² Terrasse couverte + télévision + Lave vaisselle,,Camping La Garenne,4 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,21/01/2024,28/01/2024,599.30,599.30,MOBILHOME 6 personnes - Résidence RIVIERA 40m2 (2 salle de bains) +clim + LAVE LINGE ET LAVE VAISSELLE+TERRASSE COUVERTE,,Camping La Garenne,6 Adultes, 24210 PEYRIGNAC,,3,camping-la-garenne-78027,
,09/10/2023,24/02/2024,02/03/2024,220,220,MOBILHOME 4 personnes - PRIVILEGE,,Camping Les Chambons,4 Adultes, 36200 ARGENTON SUR CREUSE,,8,camping-les-chambons-76777,
,09/10/2023,24/02/2024,02/03/2024,280,280,MOBILHOME 6 personnes - TRIO,,Camping Les Chambons,6 Adultes, 36200 ARGENTON SUR CREUSE,,8,camping-les-chambons-76777,
,09/10/2023,24/02/2024,02/03/2024,290,290,HÉBERGEMENT INSOLITE 2 personnes - Roulotte 2p,,Camping Les Chambons,2 Adultes, 36200 ARGENTON SUR CREUSE,,8,camping-les-chambons-76777,
,09/10/2023,02/06/2024,09/06/2024,546.33,163.90,MOBILHOME 5 personnes - Pyrénées 3 Pièces 4/5 Personnes Climatisé + TV,,Camping maeva Club Argelès Vacances,5 Adultes, 66700 ARGELES,,22,camping-maeva-club-argeles-vacances-76755,
,09/10/2023,02/06/2024,09/06/2024,546.33,163.90,MOBILHOME 6 personnes - Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,,Camping maeva Club Argelès Vacances,6 Adultes, 66700 ARGELES,,22,camping-maeva-club-argeles-vacances-76755,
,09/10/2023,02/06/2024,09/06/2024,546.33,163.90,MOBILHOME 4 personnes - Mobil Home PMR 3 Pièces 4 Personnes Climatisé + TV,,Camping maeva Club Argelès Vacances,4 Adultes, 66700 ARGELES,,22,camping-maeva-club-argeles-vacances-76755,
,09/10/2023,02/06/2024,09/06/2024,563.33,185.90,MOBILHOME 8 personnes - Evolution 4 Pièces 6/8 Personnes Climatisé + TV,,Camping maeva Club Argelès Vacances,8 Adultes, 66700 ARGELES,,22,camping-maeva-club-argeles-vacances-76755,
,09/10/2023,02/06/2024,09/06/2024,611.47,207.90,MOBILHOME 10 personnes - Family 5 Pièces 8/10 Personnes Climatisé + TV,,Camping maeva Club Argelès Vacances,10 Adultes, 66700 ARGELES,,22,camping-maeva-club-argeles-vacances-76755,
,09/10/2023,29/10/2023,05/11/2023,861.40,746.20,"VILLA 4 personnes - Villa Type B (rez-de-chaussée, etage) B28-B31",,Bagheera Camping Naturiste,4 Adultes, FRANCE,,43,bagheera-camping-naturiste-79251,
,09/10/2023,29/10/2023,05/11/2023,878.20,760.60,VILLA 4 personnes - Villa Type C  (1 chambre),,Bagheera Camping Naturiste,4 Adultes, FRANCE,,43,bagheera-camping-naturiste-79251,
,09/10/2023,29/10/2023,05/11/2023,903.40,782.20,CHALET 4 personnes - Supérieur 2 chambres,,Bagheera Camping Naturiste,4 Adultes, FRANCE,,43,bagheera-camping-naturiste-79251,
,09/10/2023,29/10/2023,05/11/2023,792.60,792.60,VILLA 2 personnes - Mini Villa Type A - Coté Mer,,Bagheera Camping Naturiste,2 Adultes, FRANCE,,43,bagheera-camping-naturiste-79251,
,09/10/2023,29/10/2023,05/11/2023,920.20,796.60,MOBILHOME 4 personnes - Declick 2 chambres / 2 salles de bain - Vue Mer,,Bagheera Camping Naturiste,4 Adultes, FRANCE,,43,bagheera-camping-naturiste-79251,
,09/10/2023,28/10/2023,04/11/2023,700,199,MOBILHOME 4 personnes - Modwood Tiny House,,Camping l'Orée des Landes,4 Adultes, 40110 ONESSE ET LAHARIE,,43,camping-l-oree-des-landes-94099,
,09/10/2023,15/06/2024,22/06/2024,640.09,448.06,MOBILHOME 6 personnes - Confort 3 Pièces 4/6 Personnes + TV,,Camping Antioche,4 Adultes," Les Clumasses, 17580 Le Bois",,24,camping-antioche-83190,
,09/10/2023,15/06/2024,22/06/2024,664.29,465,MOBILHOME 8 personnes - Confort 4 Pièces 8 Personnes + TV,,Camping Antioche,4 Adultes," Les Clumasses, 17580 Le Bois",,24,camping-antioche-83190,
,09/10/2023,21/09/2024,28/09/2024,200,200,TENTE TOILE ET BOIS 4 personnes - COCO SWEET,,Camping La Kilienne,2 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,21/09/2024,28/09/2024,370,370,MOBILHOME 6 personnes - FR,,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,21/09/2024,28/09/2024,380,380,MOBILHOME 6 personnes - 3 chambres  32m²,,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
